iter	Passed	Remaining
613	34281	21551
614	34336	21495
615	34391	21438
616	34441	21379
617	34497	21323
618	34550	21265
619	34568	21186
620	34622	21130
621	34676	21073
622	34730	21016
623	34791	20964
624	34852	20911
625	34910	20857
626	34963	20799
627	35016	20742
628	35069	20684
629	35123	20627
630	35177	20571
631	35235	20517
632	35286	20458
633	35343	20403
634	35394	20344
635	35449	20288
636	35503	20231
637	35558	20176
638	35608	20116
639	35666	20062
640	35719	20005
641	35775	19949
642	35833	19894
643	35889	19839
644	35946	19784
645	36000	19727
646	36054	19671
647	36107	19614
648	36137	19544
649	36190	19487
650	36239	19427
651	36291	19370
652	36344	19313
653	36403	19259
654	36456	19202
655	36507	19144
656	36559	19086
657	36611	19029
658	36667	18973
659	36722	18917
660	36788	18867
661	36849	18814
662	36909	18760
663	36965	18705
664	37016	18647
665	37070	18590
666	37123	18533
667	37183	18480
668	37239	18424
669	37292	18367
670	37340	18308
671	37388	18249
672	37447	18195
673	37499	18137
674	37552	18080
675	37605	18023
676	37661	17968
677	37710	17909
678	37765	17853
679	37825	17800
680	37881	17744
681	37938	17689
682	37989	17632
683	38042	17575
684	38093	17517
685	38148	17461
686	38206	17407
687	38261	17351
688	38314	17294
689	38367	17237
690	38419	17180
691	38473	17123
692	38531	17069
693	38590	17015
694	38643	16958
695	38699	16903
696	38753	16846
697	38814	16793
698	38868	16737
699	38922	16681
700	38973	16623
701	39028	16567
702	39083	16512
703	39136	16455
704	39188	16398
705	39245	16342
706	39295	16285
707	39358	16232
708	39408	16174
709	39462	16118
710	39512	16060
711	39566	16004
712	39619	15948
713	39677	15893
714	39734	15838
715	39793	15783
716	39848	15728
717	39908	15674
718	39956	15615
719	40011	15560
720	40062	15502
721	40117	15446
722	40172	15390
723	40221	15333
724	40274	15276
725	40330	15221
726	40382	15164
727	40436	15108
728	40488	15051
729	40540	14994
730	40589	14936
731	40640	14879
732	40690	14821
733	40751	14768
734	40812	14714
735	40868	14659
736	40921	14602
737	40970	14545
738	41024	14489
739	41078	14432
740	41132	14376
741	41193	14323
742	41252	14268
743	41304	14212
744	41356	14155
745	41410	14099
746	41464	14043
747	41524	13989
748	41576	13932
749	41628	13876
750	41684	13820
751	41738	13764
752	41798	13710
753	41854	13655
754	41910	13600
755	41959	13542
756	42009	13485
757	42061	13428
758	42111	13371
759	42166	13315
760	42221	13260
761	42270	13202
762	42318	13144
763	42368	13087
764	42421	13031
765	42474	12975
766	42526	12918
767	42576	12861
768	42636	12807
769	42693	12752
770	42748	12697
771	42804	12641
772	42860	12586
773	42911	12529
774	42969	12474
775	43021	12418
